ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
4.066636523619396870e-01	3.180219027546334898e-01	3.184750388013063982e-01	4.434962921693641480e-01	2.798292432070608182e-01	1.727778906273768016e-07
4.056818774235222969e-01	2.959851019388382576e-01	2.991744699600805135e-01	4.420349040925476425e-01	2.520088078544130417e-01	3.243329046625004065e-07
4.258479269733395078e-01	3.149985328851945821e-01	3.220301567665232456e-01	4.310294228387806514e-01	1.977166751170044978e-01	1.010159606293196551e-07
4.051323317121003909e-01	3.014687827463763958e-01	3.055408585957207213e-01	3.968846992134312246e-01	1.086150711818058973e-01	1.221158291583711586e-01
4.134752712933208452e-01	3.041569651952337194e-01	3.076518023806818491e-01	4.177332205395068443e-01	1.657505711171331220e-01	1.694912436081188745e-01
4.143413577916246759e-01	3.119743311600031710e-01	2.960635820367514826e-01	4.022977331811056212e-01	2.588826827610184456e-01	3.906130431005815119e-07
4.220360777486122927e-01	3.157552787292358665e-01	3.179423117381898756e-01	4.085310436361775932e-01	2.610406538388757025e-01	2.050612094903754290e-01
4.065168712050890032e-01	3.010743701758940571e-01	3.038325177657878462e-01	4.667956913086211412e-01	2.660300162902972110e-01	1.795617567311147966e-01
4.225202841983934920e-01	3.127171694303433891e-01	3.154815141318236815e-01	4.215061338289856629e-01	1.756859323511415771e-01	1.551146750637165950e-01
4.258438007804916658e-01	3.157167552595523952e-01	3.175182964442022082e-01	4.219628156043247480e-01	1.360240134476357332e-01	9.999997148832773242e-02
3.961977144396814920e-01	2.984309213148244044e-01	3.083174473240678504e-01	4.431709443670210358e-01	1.057230388836487289e-01	1.341641833592497057e-01
4.196473373234579363e-01	3.190971625504536724e-01	3.118464046743433804e-01	4.452745352567252790e-01	2.862045880762932870e-01	1.211062222812423067e-01
4.212596612133762131e-01	3.063284256766237168e-01	3.176103757452044540e-01	4.355376474958695954e-01	2.241957050305365962e-01	2.030430645788255939e-01
4.117764699835238518e-01	3.191254085453120171e-01	3.141808049790209556e-01	4.560500823588308772e-01	1.528636804091538792e-01	8.944285839271898242e-02
4.224532671834045350e-01	3.101979212652382079e-01	3.060985296524939558e-01	4.269716190906287512e-01	1.913270373840958716e-01	4.100059814633261050e-07
4.275165508040227880e-01	3.316015281298911876e-01	3.219335373099400099e-01	4.307198983308311857e-01	1.913117332753407063e-01	2.134456905798248679e-07
4.197742579624471060e-01	3.094295125797304480e-01	3.139991258530369089e-01	4.227232293749079717e-01	2.068183795694916172e-01	1.290994415577859100e-01
4.165192351217031907e-01	3.078825269430772726e-01	3.024345346175417726e-01	4.549362169125323319e-01	1.943780642032646166e-01	1.486372636886413701e-07
4.120100663374949290e-01	3.060382439210729277e-01	2.944865665724242243e-01	4.282108950102267997e-01	1.764427186465948316e-01	2.041241409166187626e-01
4.121971950827991726e-01	3.154706184326108165e-01	3.087965019439022352e-01	4.084608765816662990e-01	2.172650197909894720e-01	1.882512403041542437e-01
