ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
9.902858734130859375e-02	3.181195259094238281e-02	4.235625267028808594e-02	1.420690536499023438e+00	1.443018436431884766e+00	1.433609008789062500e+00
1.043689250946044922e-01	3.119826316833496094e-02	4.269003868103027344e-02	1.266520023345947266e+00	1.398968458175659180e+00	1.394424676895141602e+00
1.005387306213378906e-01	3.203964233398437500e-02	4.255390167236328125e-02	1.258099555969238281e+00	1.230989694595336914e+00	1.195758104324340820e+00
1.072711944580078125e-01	3.040504455566406250e-02	9.354424476623535156e-02	1.155929803848266602e+00	1.417525053024291992e+00	1.210343599319458008e+00
8.788061141967773438e-02	3.214907646179199219e-02	4.197072982788085938e-02	1.396547555923461914e+00	1.751781940460205078e+00	1.184066534042358398e+00
9.383416175842285156e-02	3.053855895996093750e-02	4.109215736389160156e-02	1.518450975418090820e+00	1.924160957336425781e+00	1.584613084793090820e+00
8.892750740051269531e-02	3.125429153442382812e-02	4.162240028381347656e-02	1.252270221710205078e+00	1.531053066253662109e+00	1.400228738784790039e+00
1.076934337615966797e-01	3.671360015869140625e-02	4.205918312072753906e-02	1.382441759109497070e+00	1.700865745544433594e+00	1.424400091171264648e+00
1.104061603546142578e-01	3.227734565734863281e-02	5.292177200317382812e-02	1.741516590118408203e+00	1.581542253494262695e+00	1.187038660049438477e+00
1.286239624023437500e-01	3.419756889343261719e-02	1.011123657226562500e-01	1.349781036376953125e+00	1.550561666488647461e+00	1.472977399826049805e+00
9.559416770935058594e-02	3.133463859558105469e-02	4.253315925598144531e-02	1.347468614578247070e+00	2.043291091918945312e+00	1.402162075042724609e+00
1.016747951507568359e-01	3.083753585815429688e-02	4.147768020629882812e-02	1.347911119461059570e+00	2.054029226303100586e+00	1.318619728088378906e+00
1.015679836273193359e-01	3.117537498474121094e-02	4.256200790405273438e-02	1.257946729660034180e+00	1.542385816574096680e+00	1.174934148788452148e+00
9.308886528015136719e-02	5.953836441040039062e-02	4.119133949279785156e-02	1.524045705795288086e+00	2.074024200439453125e+00	1.252860784530639648e+00
8.786869049072265625e-02	3.057956695556640625e-02	4.280352592468261719e-02	1.366582155227661133e+00	2.282953500747680664e+00	1.251909017562866211e+00
1.189513206481933594e-01	3.038835525512695312e-02	4.080462455749511719e-02	1.438146591186523438e+00	1.825333356857299805e+00	1.232686281204223633e+00
8.787012100219726562e-02	3.268194198608398438e-02	4.195356369018554688e-02	1.453357219696044922e+00	1.499515056610107422e+00	1.362067937850952148e+00
1.003544330596923828e-01	3.191447257995605469e-02	4.136586189270019531e-02	1.626000165939331055e+00	1.938497543334960938e+00	1.452117681503295898e+00
1.432263851165771484e-01	3.225040435791015625e-02	4.351782798767089844e-02	1.503035545349121094e+00	1.657462596893310547e+00	1.753407001495361328e+00
1.155707836151123047e-01	3.078389167785644531e-02	4.403471946716308594e-02	1.250611782073974609e+00	1.560086488723754883e+00	1.723732948303222656e+00
