ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
3.889869100128915402e-01	4.261127155773433151e-01	3.258393912531540870e-01	3.730200442817118156e-01	4.075647221436285994e-01	7.905699482966065117e-02
4.146611218659076448e-01	4.579762678370630780e-01	3.458386968251058180e-01	4.648561790694474283e-01	4.647495257066884822e-01	5.424085168941801538e-02
3.925291664070342246e-01	4.588858200251585417e-01	3.494146977514707708e-01	4.603210241901092292e-01	4.948345314534166595e-01	1.942995034394114917e-01
3.704818082142996571e-01	4.516102345532174711e-01	3.350765461322618988e-01	4.115210642466029523e-01	4.607767767255318003e-01	2.639861631141519475e-06
3.646524281084179697e-01	4.435987731359521402e-01	3.328445195716497884e-01	4.058803342577805284e-01	4.481008368065786951e-01	1.557708061047817227e-01
3.822280514305873012e-01	4.422021473713792505e-01	3.283633252524067458e-01	4.147753553719186193e-01	4.631799049016682157e-01	5.590718352602436908e-02
4.028345786970704001e-01	4.616828530655955332e-01	3.503254811479141195e-01	4.519054018029325381e-01	5.156872634051192783e-01	6.972165645972909498e-02
4.165865699333868855e-01	4.625700920384572812e-01	3.465211105224866306e-01	4.842690371871648525e-01	5.146783265352838921e-01	1.366443718014106745e-01
3.789509324121007605e-01	4.618837274619643218e-01	3.474075279682439232e-01	4.258140444282308978e-01	4.932500892784791313e-01	1.242191704330736918e-01
3.739785548277675953e-01	4.448443418618259759e-01	3.350886450036076880e-01	3.721096084738077514e-01	4.825908760133850728e-01	1.700183264155626373e-01
3.505206435595140113e-01	4.400301041986235950e-01	3.367577201416310784e-01	4.381564752678782093e-01	4.686281874925528612e-01	1.409842301027477707e-01
3.875984280758359990e-01	4.566092297218276030e-01	3.446981388406673008e-01	4.263726341966086464e-01	4.888930288491051268e-01	1.199925046586713118e-01
4.154764064835219095e-01	4.491750261228035224e-01	3.537046697704827602e-01	4.797030637050220814e-01	4.919681264850093161e-01	8.029551631606697548e-02
3.822044423128816981e-01	4.453364066511965036e-01	3.431523235770941871e-01	4.326422983581749149e-01	4.678531693449946016e-01	1.312833940335236830e-06
4.037944789236534993e-01	4.579524904694142196e-01	3.392772915766536501e-01	4.391867703803241652e-01	4.775447400413097565e-01	1.383360433674640511e-01
3.839194095112601346e-01	4.497338882528310045e-01	3.389912509518346329e-01	4.308409790391934391e-01	4.872056853910986529e-01	8.105785861608582822e-07
4.015735087253939906e-01	4.596633898069054647e-01	3.335890979037769433e-01	4.306753732902816045e-01	4.769799689437915768e-01	7.140504379450730854e-02
3.886065310219262159e-01	4.471862890365777554e-01	3.314732099923688446e-01	4.151361810053579293e-01	4.686676052792113634e-01	3.628307713217789748e-02
3.810887551131300066e-01	4.392800451062587874e-01	3.350826137247672754e-01	4.335875695792113516e-01	4.473371641205375893e-01	1.303662971765509989e-06
3.728455787351344641e-01	4.489069252259018095e-01	3.411366660106458504e-01	4.288522492262829000e-01	4.823277769754273914e-01	9.634305455296605925e-02
