ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
9.041714668273925781e-02	3.292560577392578125e-02	3.843092918395996094e-02	2.120149850845336914e+00	2.521690368652343750e+00	6.459164619445800781e-01
9.371304512023925781e-02	3.347373008728027344e-02	3.991079330444335938e-02	1.922377109527587891e+00	2.723825931549072266e+00	6.610043048858642578e-01
9.303641319274902344e-02	3.404641151428222656e-02	4.045414924621582031e-02	1.792205572128295898e+00	2.712135076522827148e+00	6.136898994445800781e-01
9.658241271972656250e-02	3.447246551513671875e-02	4.469585418701171875e-02	1.817208290100097656e+00	2.806903600692749023e+00	6.777861118316650391e-01
1.057250499725341797e-01	3.470063209533691406e-02	4.764366149902343750e-02	1.692289352416992188e+00	2.656196355819702148e+00	6.314837932586669922e-01
9.063339233398437500e-02	3.297448158264160156e-02	3.953480720520019531e-02	1.525865554809570312e+00	2.606595039367675781e+00	6.945524215698242188e-01
9.052777290344238281e-02	3.375530242919921875e-02	4.041194915771484375e-02	2.041871547698974609e+00	2.776245594024658203e+00	7.118253707885742188e-01
1.160073280334472656e-01	3.480482101440429688e-02	4.296469688415527344e-02	1.838146686553955078e+00	2.802128076553344727e+00	6.420092582702636719e-01
9.879302978515625000e-02	3.392386436462402344e-02	4.043292999267578125e-02	1.789822816848754883e+00	2.959536790847778320e+00	6.554732322692871094e-01
9.387707710266113281e-02	3.324699401855468750e-02	3.964757919311523438e-02	1.735013008117675781e+00	2.781336307525634766e+00	6.629917621612548828e-01
9.077930450439453125e-02	3.422641754150390625e-02	3.998064994812011719e-02	2.215526342391967773e+00	2.775517940521240234e+00	6.459438800811767578e-01
9.130215644836425781e-02	3.415822982788085938e-02	4.011559486389160156e-02	1.848609209060668945e+00	2.678722381591796875e+00	6.215991973876953125e-01
9.118819236755371094e-02	3.576087951660156250e-02	4.255080223083496094e-02	1.793694019317626953e+00	3.036146163940429688e+00	6.991982460021972656e-01
9.092688560485839844e-02	3.395056724548339844e-02	4.038047790527343750e-02	2.093811988830566406e+00	2.909719705581665039e+00	6.525926589965820312e-01
9.762358665466308594e-02	3.487038612365722656e-02	4.180479049682617188e-02	1.866195201873779297e+00	2.950905561447143555e+00	6.828780174255371094e-01
9.096646308898925781e-02	3.380131721496582031e-02	4.009079933166503906e-02	1.639350652694702148e+00	2.701361179351806641e+00	5.890700817108154297e-01
8.838796615600585938e-02	3.340697288513183594e-02	3.955197334289550781e-02	1.880458354949951172e+00	2.806555509567260742e+00	6.450479030609130859e-01
9.347414970397949219e-02	3.384470939636230469e-02	4.013395309448242188e-02	1.661726236343383789e+00	2.801421642303466797e+00	6.061384677886962891e-01
9.169864654541015625e-02	3.296947479248046875e-02	3.906488418579101562e-02	1.728377103805541992e+00	2.823451280593872070e+00	6.630575656890869141e-01
8.913803100585937500e-02	3.288269042968750000e-02	4.044198989868164062e-02	1.661384582519531250e+00	2.744517326354980469e+00	6.599268913269042969e-01
