ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
6.106495857238769531e-02	4.271745681762695312e-02	5.986094474792480469e-02	2.652773857116699219e-01	2.248775959014892578e-01	2.486126422882080078e-01
6.123089790344238281e-02	4.247736930847167969e-02	6.096839904785156250e-02	2.738258838653564453e-01	2.296345233917236328e-01	2.420811653137207031e-01
7.354521751403808594e-02	4.562520980834960938e-02	6.181573867797851562e-02	2.488284111022949219e-01	2.212104797363281250e-01	2.454297542572021484e-01
6.984210014343261719e-02	4.513025283813476562e-02	6.008505821228027344e-02	2.616522312164306641e-01	2.240121364593505859e-01	2.386043071746826172e-01
5.993485450744628906e-02	4.131269454956054688e-02	5.954742431640625000e-02	2.531263828277587891e-01	2.249917984008789062e-01	2.391183376312255859e-01
6.054711341857910156e-02	4.115962982177734375e-02	6.037688255310058594e-02	2.531909942626953125e-01	2.265436649322509766e-01	2.328119277954101562e-01
5.950975418090820312e-02	4.079818725585937500e-02	5.893230438232421875e-02	2.573935985565185547e-01	2.273659706115722656e-01	2.771956920623779297e-01
8.675694465637207031e-02	6.683707237243652344e-02	9.236550331115722656e-02	2.714769840240478516e-01	2.380294799804687500e-01	2.572939395904541016e-01
5.893564224243164062e-02	4.289770126342773438e-02	5.966639518737792969e-02	2.704596519470214844e-01	2.395012378692626953e-01	2.362654209136962891e-01
5.979084968566894531e-02	4.094314575195312500e-02	5.911612510681152344e-02	2.667000293731689453e-01	2.294354438781738281e-01	2.885348796844482422e-01
9.909176826477050781e-02	6.626224517822265625e-02	9.963011741638183594e-02	2.742252349853515625e-01	2.273464202880859375e-01	2.451999187469482422e-01
6.074643135070800781e-02	4.136276245117187500e-02	5.975604057312011719e-02	2.525854110717773438e-01	2.263674736022949219e-01	2.376174926757812500e-01
6.074047088623046875e-02	4.185438156127929688e-02	6.013154983520507812e-02	2.560486793518066406e-01	2.256004810333251953e-01	2.475602626800537109e-01
6.064081192016601562e-02	4.169273376464843750e-02	6.015658378601074219e-02	2.593889236450195312e-01	2.255933284759521484e-01	2.632098197937011719e-01
5.960321426391601562e-02	4.141306877136230469e-02	5.965828895568847656e-02	2.553434371948242188e-01	2.238922119140625000e-01	2.407109737396240234e-01
6.035637855529785156e-02	4.074549674987792969e-02	6.011819839477539062e-02	2.653126716613769531e-01	2.175529003143310547e-01	2.331836223602294922e-01
5.954813957214355469e-02	4.058432579040527344e-02	5.844879150390625000e-02	2.522869110107421875e-01	2.172381877899169922e-01	2.308366298675537109e-01
6.039690971374511719e-02	4.593086242675781250e-02	6.546640396118164062e-02	2.478976249694824219e-01	2.232599258422851562e-01	2.314114570617675781e-01
6.006240844726562500e-02	4.354310035705566406e-02	6.413292884826660156e-02	2.513353824615478516e-01	2.184293270111083984e-01	2.342376708984375000e-01
6.261539459228515625e-02	4.069352149963378906e-02	5.858373641967773438e-02	2.454099655151367188e-01	2.146656513214111328e-01	2.312517166137695312e-01
