ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU	inference
6.054234504699707031e-02	4.160332679748535156e-02	5.974149703979492188e-02	2.708318233489990234e-01	2.300441265106201172e-01	2.474095821380615234e-01	3.915786743164062500e-03
6.017112731933593750e-02	1.118710041046142578e-01	1.850888729095458984e-01	2.498590946197509766e-01	2.241084575653076172e-01	2.657358646392822266e-01	3.762006759643554688e-03
8.100414276123046875e-02	6.278705596923828125e-02	6.325912475585937500e-02	2.569162845611572266e-01	2.409889698028564453e-01	2.466716766357421875e-01	3.909587860107421875e-03
1.075654029846191406e-01	4.918026924133300781e-02	6.065273284912109375e-02	2.866647243499755859e-01	2.319483757019042969e-01	2.510316371917724609e-01	3.985643386840820312e-03
6.040596961975097656e-02	4.158306121826171875e-02	6.065726280212402344e-02	2.820785045623779297e-01	2.238059043884277344e-01	2.493879795074462891e-01	3.823757171630859375e-03
5.783295631408691406e-02	4.058241844177246094e-02	5.894923210144042969e-02	2.479660511016845703e-01	2.306714057922363281e-01	2.331266403198242188e-01	3.896951675415039062e-03
9.053349494934082031e-02	4.159569740295410156e-02	6.023454666137695312e-02	2.589395046234130859e-01	2.412376403808593750e-01	2.412304878234863281e-01	4.199028015136718750e-03
5.976295471191406250e-02	4.123616218566894531e-02	5.927443504333496094e-02	2.487382888793945312e-01	2.295062541961669922e-01	2.402591705322265625e-01	3.996610641479492188e-03
6.021499633789062500e-02	4.084110260009765625e-02	5.907130241394042969e-02	2.490181922912597656e-01	2.249896526336669922e-01	2.326352596282958984e-01	4.023551940917968750e-03
8.929920196533203125e-02	7.850909233093261719e-02	8.229851722717285156e-02	2.645261287689208984e-01	2.417025566101074219e-01	2.630312442779541016e-01	3.126621246337890625e-03
6.010127067565917969e-02	4.142880439758300781e-02	6.008720397949218750e-02	2.638249397277832031e-01	2.455589771270751953e-01	2.398176193237304688e-01	4.026651382446289062e-03
7.054615020751953125e-02	4.147648811340332031e-02	6.104683876037597656e-02	2.556598186492919922e-01	2.241795063018798828e-01	2.436013221740722656e-01	3.836870193481445312e-03
5.990028381347656250e-02	4.142928123474121094e-02	5.971884727478027344e-02	2.664110660552978516e-01	2.403552532196044922e-01	2.737224102020263672e-01	3.970623016357421875e-03
9.032201766967773438e-02	5.246353149414062500e-02	7.933354377746582031e-02	2.631678581237792969e-01	2.246234416961669922e-01	2.391200065612792969e-01	3.769397735595703125e-03
5.971908569335937500e-02	4.127979278564453125e-02	6.297492980957031250e-02	3.201615810394287109e-01	2.480583190917968750e-01	2.318868637084960938e-01	4.034519195556640625e-03
5.964255332946777344e-02	4.160118103027343750e-02	5.994391441345214844e-02	2.504503726959228516e-01	2.176132202148437500e-01	2.316548824310302734e-01	3.997564315795898438e-03
6.179618835449218750e-02	4.066157341003417969e-02	6.031823158264160156e-02	2.558777332305908203e-01	2.152097225189208984e-01	2.409946918487548828e-01	4.012107849121093750e-03
6.228566169738769531e-02	4.063344001770019531e-02	5.881285667419433594e-02	2.448470592498779297e-01	2.213604450225830078e-01	2.391233444213867188e-01	3.831863403320312500e-03
6.229519844055175781e-02	4.095935821533203125e-02	5.906724929809570312e-02	2.496578693389892578e-01	2.168514728546142578e-01	2.332556247711181641e-01	4.045963287353515625e-03
6.233119964599609375e-02	4.057598114013671875e-02	5.879974365234375000e-02	2.462062835693359375e-01	2.155835628509521484e-01	2.519052028656005859e-01	3.738880157470703125e-03
