ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
7.398448932248504661e+01	7.698396799830834425e+01	5.810490387940027546e+01	7.276210127653693860e+01	8.063840486317900513e+01	4.031418656458644989e+01
7.380459452724799974e+01	1.162995055765303647e+02	5.481272723294456739e+01	7.223017164566086024e+01	1.267488168640037429e+02	3.289850465714265937e+01
7.075952132463309852e+01	6.065335981128462350e+01	5.513289904841450806e+01	7.284462624703867561e+01	7.967215819291246248e+01	2.048550128715739049e+01
7.081109036428740922e+01	7.347461331274614338e+01	5.218173699847658753e+01	6.378630931828626416e+01	7.654210803930010343e+01	3.384151958237477231e+01
6.991773808431079829e+01	2.609555214437200448e+02	5.413016730270285848e+01	7.299281958405627790e+01	3.062512409018877406e+02	2.522937346249349488e+01
7.184272667325588202e+01	6.004484600059126365e+01	5.510893035071094204e+01	7.162929458889813361e+01	8.012503569884221122e+01	2.798873995949629645e+01
6.593320182175625632e+01	6.990051894013313927e+01	5.115654810755903981e+01	6.964303617521207457e+01	8.098608821834667992e+01	2.167494787206015872e+01
7.238797085930077913e+01	5.924967145353916465e+01	5.295122431905101479e+01	7.091891371388695120e+01	7.387745208747169556e+01	2.020616302258424213e+01
7.133241761234067724e+01	5.695282443770233982e+01	5.193144974736225805e+01	6.898212593898378486e+01	7.808292326485972978e+01	2.021030446290901850e+01
7.174567900804120768e+01	6.578591181572913626e+01	5.203475427202690895e+01	6.698582109996836209e+01	7.295715472740454288e+01	2.137900266274368377e+01
7.229239272404856820e+01	1.525735720025340356e+02	5.359044915478149562e+01	7.287635156629794153e+01	1.023045812136744246e+02	2.280572356142389268e+01
6.842855363592168771e+01	1.192552511732000795e+02	5.673756973379120438e+01	7.501830673419081563e+01	1.143112839417147200e+02	3.392020030013718213e+01
6.621756417935415584e+01	6.256300647751574218e+01	5.207219200514193602e+01	6.363155230839553411e+01	7.414898898357277801e+01	2.547487608233261369e+01
6.415288002214312257e+01	6.835113015972061135e+01	5.267602446949594963e+01	7.173535284265861378e+01	6.914563269098233889e+01	1.976898851619886699e+01
7.462428622395307798e+01	1.253819424513864647e+02	9.394686571655560101e+02	7.439166592376479059e+01	2.507788558971719226e+02	6.025344514064469337e+01
6.764157257455423178e+01	7.222017412212737497e+01	5.279344686882792104e+01	6.693906101918221907e+01	7.223739430984711873e+01	2.729233843943507765e+01
7.021717068730336564e+01	6.148175493330884933e+01	5.295121145263879470e+01	6.755990763456735237e+01	7.349119008721007162e+01	1.892745709925399566e+01
6.601593097348862216e+01	6.668875582440404060e+01	5.377941511251599849e+01	6.597378428129833594e+01	9.578069031203636996e+01	2.012995828425567879e+01
6.709669527917849052e+01	8.063015722110357331e+01	5.087115959338564153e+01	7.257269014661372353e+01	8.133271729179287490e+01	2.443610453959761131e+01
6.915434681502595993e+01	6.248585805136475102e+01	5.404765346855857189e+01	7.086469891320463432e+01	8.023104043587360934e+01	2.104327022759952115e+01
