ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
1.736852407455444336e+00	5.187606811523437500e-01	4.850451946258544922e-01	1.770506477355957031e+01	1.720040559768676758e+00	4.030968427658081055e+00
1.745093822479248047e+00	5.068221092224121094e-01	5.019774436950683594e-01	1.862356138229370117e+01	1.794375896453857422e+00	4.731375932693481445e+00
1.738191604614257812e+00	5.088582038879394531e-01	5.016753673553466797e-01	1.777853941917419434e+01	1.723328828811645508e+00	3.966775655746459961e+00
1.766043424606323242e+00	5.172882080078125000e-01	4.854588508605957031e-01	1.845576953887939453e+01	1.941837787628173828e+00	4.117141723632812500e+00
1.753933906555175781e+00	5.142304897308349609e-01	4.829347133636474609e-01	1.773258471488952637e+01	1.751429796218872070e+00	2.413102054595947266e+01
1.748480319976806641e+00	5.349373817443847656e-01	4.997146129608154297e-01	1.948311686515808105e+01	1.796383142471313477e+00	3.431971073150634766e+00
1.804698705673217773e+00	5.143976211547851562e-01	4.941422939300537109e-01	1.908379888534545898e+01	1.907727241516113281e+00	1.057302439212799072e+02
1.718898773193359375e+00	5.194118022918701172e-01	4.798569679260253906e-01	1.853054523468017578e+01	1.622819900512695312e+00	3.228363513946533203e+00
2.311066389083862305e+00	5.106124877929687500e-01	5.034132003784179688e-01	1.771625280380249023e+01	1.594407796859741211e+00	7.514936947822570801e+01
1.745755672454833984e+00	5.252273082733154297e-01	4.821784496307373047e-01	1.894472098350524902e+01	1.679863691329956055e+00	7.186981916427612305e+00
1.778299093246459961e+00	5.023181438446044922e-01	4.781298637390136719e-01	1.827519536018371582e+01	1.773998022079467773e+00	3.023292016983032227e+01
1.734331369400024414e+00	5.023126602172851562e-01	4.828631877899169922e-01	1.857632136344909668e+01	1.737803459167480469e+00	6.279421329498291016e+00
1.741916656494140625e+00	5.297949314117431641e-01	4.922919273376464844e-01	1.805504536628723145e+01	1.721450090408325195e+00	6.050331664085388184e+01
1.747595310211181641e+00	5.258963108062744141e-01	4.934263229370117188e-01	1.899475979804992676e+01	1.889967441558837891e+00	3.601221990585327148e+01
2.038389682769775391e+00	6.123318672180175781e-01	6.216561794281005859e-01	1.929923081398010254e+01	2.037271499633789062e+00	7.003669691085815430e+01
1.769330263137817383e+00	5.526447296142578125e-01	4.907710552215576172e-01	1.952769565582275391e+01	1.727155685424804688e+00	3.338888168334960938e+00
1.775789499282836914e+00	5.236513614654541016e-01	4.955823421478271484e-01	1.932458019256591797e+01	1.763560771942138672e+00	3.053000926971435547e+00
1.784377813339233398e+00	5.466129779815673828e-01	4.948968887329101562e-01	1.773089623451232910e+01	1.734165430068969727e+00	3.395560407638549805e+01
1.816040277481079102e+00	5.138003826141357422e-01	5.032918453216552734e-01	1.924317789077758789e+01	1.663635969161987305e+00	9.324003577232360840e+01
1.889322519302368164e+00	5.470712184906005859e-01	5.245158672332763672e-01	1.961268877983093262e+01	1.875569820404052734e+00	4.530049085617065430e+00
