ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
5.920123522878710798e-01	5.048594621817029671e-01	5.362826906228546076e-01	5.445861411455097474e-09	3.047343226179265469e-08	1.365662914309282140e-08
6.254007374081198556e-01	5.000855665216279444e-01	5.436555272050119791e-01	4.728546764752919223e-09	2.519831116217617551e-08	1.309568825879850444e-08
4.816647809351342624e-01	4.890269266179508301e-01	4.943342786849366233e-01	7.072081986041771423e-09	2.594578802734073274e-08	1.291478744186375992e-08
6.095627616205863131e-01	5.046976769355557835e-01	5.450878649573418500e-01	5.450120212871039783e-09	2.893431855297771225e-08	1.431326118624095172e-08
5.353310288186882149e-01	4.952459960173650755e-01	5.362561388643215521e-01	1.955280358863337376e-08	6.931726124038975540e-08	2.066612776135421668e-08
5.545429372023996661e-01	5.166844617272631224e-01	5.394191295496348904e-01	2.778326375563457755e-08	6.258603868531586279e-08	1.736585137460816287e-08
6.002105877742766049e-01	4.886279335215887865e-01	5.318346275894527686e-01	3.371523548040498641e-08	6.182318234072405435e-08	1.692763180303788320e-08
5.606749691942973790e-01	4.767438427711554461e-01	5.076638919416891493e-01	4.308199581561736706e-09	3.016803526523353488e-08	1.458944427441502257e-08
1.556135454546138330e+00	4.950470409482034539e-01	5.381037416526239792e-01	8.033415419077981087e-09	2.816954527831512186e-08	1.431200016748366026e-08
5.361215474870499875e-01	5.011873206356523003e-01	5.229209751233432346e-01	4.531692690229883709e-09	2.750403822686552423e-08	1.507084939025347119e-08
6.895824930081279058e-01	4.875128672202635460e-01	5.209112519142760078e-01	2.429331548497288695e-09	2.818651445877208937e-08	1.482060597900909351e-08
1.484112422613266480e+00	6.572880058105977641e-01	5.335565087516895844e-01	2.804332368527615929e-08	5.635473974609646816e-08	1.666053742281683177e-08
5.641147806735008485e-01	4.856647109153839903e-01	5.325600187086869663e-01	6.078477510546872839e-09	2.711347522678200911e-08	1.598913850847883082e-08
5.949905719370477408e-01	4.808183530217766122e-01	4.899722479067459835e-01	4.156855920560214354e-09	2.631448603884063226e-08	1.419903106952495755e-08
5.125449851330571294e-01	4.897285945796834294e-01	5.346969136910458831e-01	6.345402124992844353e-09	2.546462466857558839e-08	1.326515628698723651e-08
5.479745841194787470e-01	4.851745250468251780e-01	4.941856223673088411e-01	7.299391296039736704e-09	2.779960024171893598e-08	1.455435905517741143e-08
6.107912340883674407e-01	5.039680922655852546e-01	5.273406127188807746e-01	5.550286658109156400e-09	2.788203796173585240e-08	1.539172652935286166e-08
5.223923319608589910e-01	4.910910469465603057e-01	5.290114409866270018e-01	8.966671671720967679e-09	2.663129512654983263e-08	1.520271060069734397e-08
4.883623875447432039e-01	4.991389322848162613e-01	5.552507210797460457e-01	4.477913328211602061e-09	2.576443303661160022e-08	1.313813175162874814e-08
6.144718793740332474e-01	5.366865468142336670e-01	5.210120286634546405e-01	3.107726409681205991e-08	6.591426410410135037e-08	1.887383194649504979e-08
