ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
8.692121505737304688e-02	8.335733413696289062e-02	1.083409786224365234e-01	1.839361190795898438e-01	1.831340789794921875e-01	1.884958744049072266e-01
8.919239044189453125e-02	9.048843383789062500e-02	1.170103549957275391e-01	2.026150226593017578e-01	1.817026138305664062e-01	2.090311050415039062e-01
1.022598743438720703e-01	9.408211708068847656e-02	1.187300682067871094e-01	2.272396087646484375e-01	2.096951007843017578e-01	2.397193908691406250e-01
8.842611312866210938e-02	8.360743522644042969e-02	1.093044281005859375e-01	1.797394752502441406e-01	1.707589626312255859e-01	1.885612010955810547e-01
8.111977577209472656e-02	7.978987693786621094e-02	1.034588813781738281e-01	1.925292015075683594e-01	1.868355274200439453e-01	2.010352611541748047e-01
8.662247657775878906e-02	8.447194099426269531e-02	1.097412109375000000e-01	1.914849281311035156e-01	1.818401813507080078e-01	2.002718448638916016e-01
8.504986763000488281e-02	8.321046829223632812e-02	1.098027229309082031e-01	1.780920028686523438e-01	1.711883544921875000e-01	1.893825531005859375e-01
8.096504211425781250e-02	8.051323890686035156e-02	1.056351661682128906e-01	1.832661628723144531e-01	1.662766933441162109e-01	1.932957172393798828e-01
8.383989334106445312e-02	8.129429817199707031e-02	1.079792976379394531e-01	1.730003356933593750e-01	1.597611904144287109e-01	1.886215209960937500e-01
8.316636085510253906e-02	8.294773101806640625e-02	1.075406074523925781e-01	1.806888580322265625e-01	1.638996601104736328e-01	1.891932487487792969e-01
8.390545845031738281e-02	8.542633056640625000e-02	1.106438636779785156e-01	1.970269680023193359e-01	1.779243946075439453e-01	2.042634487152099609e-01
8.683943748474121094e-02	8.180189132690429688e-02	1.081149578094482422e-01	1.751728057861328125e-01	1.594073772430419922e-01	1.857657432556152344e-01
8.605790138244628906e-02	8.734107017517089844e-02	1.112992763519287109e-01	1.845591068267822266e-01	1.797800064086914062e-01	1.934432983398437500e-01
9.265470504760742188e-02	9.277224540710449219e-02	1.191713809967041016e-01	2.245478630065917969e-01	2.033739089965820312e-01	2.399909496307373047e-01
8.604669570922851562e-02	8.158373832702636719e-02	1.104345321655273438e-01	1.743173599243164062e-01	1.594669818878173828e-01	1.873433589935302734e-01
8.470630645751953125e-02	8.481216430664062500e-02	1.099247932434082031e-01	2.015726566314697266e-01	1.886174678802490234e-01	2.100081443786621094e-01
8.795857429504394531e-02	8.590841293334960938e-02	1.101098060607910156e-01	1.871585845947265625e-01	1.733245849609375000e-01	1.975018978118896484e-01
8.891010284423828125e-02	8.811759948730468750e-02	1.116328239440917969e-01	1.951582431793212891e-01	1.894791126251220703e-01	2.066180706024169922e-01
8.621978759765625000e-02	8.286714553833007812e-02	1.072368621826171875e-01	1.648633480072021484e-01	1.455771923065185547e-01	1.780548095703125000e-01
8.702135086059570312e-02	8.949208259582519531e-02	1.184747219085693359e-01	2.112171649932861328e-01	2.080006599426269531e-01	2.229897975921630859e-01
