ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
4.383525180740435734e-01	4.534359636937834726e-01	4.545271164765755656e-01	3.464635409475345651e-01	4.221253224879019106e-01	2.437935287696335086e-03
4.341676825074735069e-01	4.551296203046859556e-01	4.621320338056020827e-01	3.802800491272431138e-01	4.222792016931242176e-01	6.741997830484700027e-02
4.459010287482367274e-01	4.546978620588981723e-01	4.398479623340590949e-01	3.830494774089779897e-01	4.099070394524247929e-01	4.767314565585927671e-02
4.331252679955568952e-01	4.507427457980915375e-01	4.246544104502518180e-01	3.822537235547315837e-01	4.467576928851457185e-01	5.060691787519682300e-07
4.461488867124366320e-01	4.506579518444771004e-01	4.569746109999902051e-01	3.637542523550686968e-01	4.156600200002589784e-01	2.854337153824255610e-03
4.309827160866780971e-01	4.581263429733596348e-01	4.218869273450817636e-01	3.770224229902931490e-01	3.996278761076262342e-01	2.169124151331077075e-07
4.385526230684308469e-01	4.492569339530337325e-01	4.307970923630501936e-01	3.585672057454840078e-01	4.232501698157286607e-01	6.069561926378311094e-03
4.454354667648457444e-01	4.506171464256401582e-01	4.337679337170363691e-01	3.617521735033793484e-01	4.254942070725681869e-01	9.759674287050259080e-04
4.481029997497416040e-01	4.525180727514376278e-01	4.368293438327197076e-01	3.469449988009289387e-01	4.516569624986175313e-01	2.260009834689325318e-07
4.491859321969935981e-01	4.639395137668159697e-01	4.711557033136617445e-01	3.925422568718694993e-01	4.374834747268805391e-01	2.752947547617688989e-03
4.495028923111744068e-01	4.570639349934008111e-01	4.743003574253906174e-01	3.652124685418655092e-01	4.113419963818331637e-01	2.613501400653192891e-07
4.319868292252195263e-01	4.555150393634819772e-01	4.365351120330392409e-01	4.483156469298282265e-01	4.400169737335568598e-01	4.275727972991558818e-07
4.431249843001021094e-01	4.573535261823450937e-01	4.410670622283628384e-01	3.704429909481264382e-01	4.233760928138308732e-01	3.061232924849659823e-07
4.280299438112845078e-01	4.696166369077993674e-01	4.266642477949760814e-01	3.689673900803418505e-01	4.447520226109847319e-01	2.865273264661891466e-07
4.290080346243174692e-01	4.516010245769748188e-01	4.168603655285639253e-01	3.490723841045493825e-01	4.150000367526319178e-01	2.107943245126820029e-07
4.342376149407619623e-01	4.545172785328134846e-01	4.447446876577421659e-01	3.950159803108915235e-01	4.275615776015646574e-01	8.257227853387073824e-02
4.351230857629125315e-01	4.675616645420345163e-01	4.513723420962015842e-01	3.892657149216492418e-01	4.295338772471943289e-01	1.501465439951776186e-03
4.297714304798457841e-01	4.576443641558747277e-01	4.245281456798190023e-01	3.746184368287350241e-01	4.240355339739814156e-01	3.329367676728050336e-07
4.299568947235248850e-01	4.559850377738445815e-01	4.191178589067960925e-01	3.633015012620570694e-01	4.260857578945083102e-01	2.990433692564640021e-07
4.285071593881553120e-01	4.609657028016381219e-01	4.287655711693997285e-01	3.629934257292051769e-01	4.137879767561308264e-01	3.369163391841061412e-07
