ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
2.125225067138671875e-01	6.043386459350585938e-02	6.578922271728515625e-02	1.768826484680175781e+00	5.715121269226074219e+00	1.440543889999389648e+00
2.119162082672119141e-01	6.150364875793457031e-02	6.624174118041992188e-02	2.096719026565551758e+00	6.442457675933837891e+00	1.850103378295898438e+00
2.130670547485351562e-01	6.048536300659179688e-02	6.631231307983398438e-02	1.361887693405151367e+00	6.761623859405517578e+00	1.735477924346923828e+00
2.273931503295898438e-01	6.158685684204101562e-02	6.829833984375000000e-02	1.945240974426269531e+00	6.126569986343383789e+00	1.773308038711547852e+00
2.251729965209960938e-01	6.022906303405761719e-02	6.696081161499023438e-02	1.786669492721557617e+00	6.699828863143920898e+00	1.716118097305297852e+00
2.099542617797851562e-01	5.955290794372558594e-02	6.414556503295898438e-02	1.737841606140136719e+00	6.344008922576904297e+00	1.626015663146972656e+00
2.108893394470214844e-01	6.006193161010742188e-02	6.634616851806640625e-02	1.616184473037719727e+00	5.974157571792602539e+00	1.567162036895751953e+00
2.125597000122070312e-01	6.102085113525390625e-02	6.777334213256835938e-02	1.427027225494384766e+00	4.743981122970581055e+00	1.516842365264892578e+00
2.102663516998291016e-01	5.951929092407226562e-02	6.532311439514160156e-02	1.896069765090942383e+00	6.105614662170410156e+00	1.670814037322998047e+00
2.151088714599609375e-01	6.153893470764160156e-02	6.696057319641113281e-02	1.748328447341918945e+00	5.391915082931518555e+00	1.577111959457397461e+00
2.129600048065185547e-01	5.989956855773925781e-02	6.579875946044921875e-02	2.455325603485107422e+00	5.770894050598144531e+00	1.888828992843627930e+00
2.142264842987060547e-01	5.990672111511230469e-02	6.576013565063476562e-02	2.073454856872558594e+00	5.376736879348754883e+00	1.539693355560302734e+00
2.179527282714843750e-01	6.036233901977539062e-02	6.686162948608398438e-02	1.732625007629394531e+00	5.932529449462890625e+00	1.589766979217529297e+00
2.208714485168457031e-01	6.212210655212402344e-02	6.900572776794433594e-02	1.862075090408325195e+00	5.808958053588867188e+00	1.788407087326049805e+00
2.164814472198486328e-01	6.246185302734375000e-02	6.895065307617187500e-02	1.896321535110473633e+00	7.071802616119384766e+00	2.198176383972167969e+00
2.182383537292480469e-01	6.321549415588378906e-02	6.871771812438964844e-02	1.952754020690917969e+00	6.450357437133789062e+00	1.845103025436401367e+00
2.846486568450927734e-01	7.230448722839355469e-02	7.941746711730957031e-02	2.247883558273315430e+00	7.391864776611328125e+00	2.360710144042968750e+00
3.924295902252197266e-01	8.578777313232421875e-02	8.560919761657714844e-02	1.969577789306640625e+00	6.654086351394653320e+00	2.021067857742309570e+00
2.622129917144775391e-01	7.203865051269531250e-02	1.019897460937500000e-01	1.982691526412963867e+00	6.242601394653320312e+00	2.137182474136352539e+00
2.810153961181640625e-01	7.435727119445800781e-02	8.211040496826171875e-02	2.130898952484130859e+00	7.023275613784790039e+00	2.346843242645263672e+00
