ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
2.279372667158451993e+00	2.237228811828633646e+00	1.859750550603809449e+00	2.283737786291361260e+00	2.233933244412873886e+00	5.270078771352824237e-02
4.288748426685494941e+00	4.229751256960606831e+00	5.582721178007914453e+00	4.289906538373947420e+00	4.231404085004333737e+00	1.067689163099401622e-01
3.929292997200674709e+00	3.732698297361966233e+00	1.305964381131161289e+01	4.039167022721988687e+00	3.698342495971797206e+00	9.428913586586747109e-02
2.158653535524642120e+00	2.117098129096610215e+00	1.257251020919184059e+00	2.160864074651678735e+00	2.120286572647137380e+00	4.270905603200158412e-02
3.379512963475164611e+00	3.375887042334805521e+00	2.824875641775266732e+00	3.378555120016219604e+00	3.375956903582204127e+00	3.523260296109126388e-02
9.493442035570183180e+00	7.159428137554475491e+00	1.302940752749624309e+01	9.369108262170890100e+00	6.925960639628797821e+00	2.841769251289902321e-01
4.086503451701087641e+00	4.014900144267466331e+00	3.476003173267697921e+00	4.126911224266748057e+00	4.010645130819302295e+00	8.687357872204366782e-02
1.017697818671523891e+01	1.017665405423191771e+01	9.088261941317814063e+00	1.017734598583716732e+01	1.017652331554814360e+01	8.757587516870318778e-02
2.826676262594749467e+00	2.824588939914183694e+00	2.136208952503377834e+00	2.827253955478408187e+00	2.823928137979591302e+00	4.973375595885135697e-02
6.590030009011247358e+00	6.590562186031042380e+00	5.459816957303255336e+00	6.590067213198062213e+00	6.590147460078328301e+00	7.055003048190408577e-02
9.277653122069965264e+01	9.277592300766499989e+01	8.601870230877324275e+01	9.278001561866624058e+01	9.277587882940621000e+01	9.285698583028175790e+01
1.653111462085289807e+00	1.632942057248541801e+00	1.623553736731824015e+00	1.650487026824500214e+00	1.645262757859222935e+00	3.727499393383476578e-02
4.115870950915956783e+00	4.087954037644708549e+00	3.524375312955770223e+00	4.124292942765825032e+00	4.080112248210787662e+00	6.067533267270711073e-02
1.648809506120945567e+00	1.647440497491564182e+00	1.387790443169625298e+00	1.649809159926767022e+00	1.648284309584639340e+00	2.223343250748788247e-02
2.451966918764919789e+00	2.391486809143148928e+00	1.641425130991926995e+00	2.454000395328270301e+00	2.411662328940122890e+00	4.519019264209406944e-02
6.338534285112332967e+00	6.319351213231424680e+00	5.723257899670211479e+00	6.331506223644437270e+00	6.325654816595262631e+00	5.947807769329874900e-02
4.908902324126537486e+00	4.897020446250709647e+00	4.212993448216516335e+00	4.979769518630720704e+00	4.894325350133704511e+00	1.994369267251117628e-01
1.441925168274297242e+01	1.441899570917846951e+01	1.245941366155195418e+01	1.434624559943605782e+01	1.441924113571587185e+01	1.824299591452803737e-01
2.832670391519049424e+00	2.833405264541333235e+00	1.383629072267589022e+00	2.836208287991186516e+00	2.832453571165606920e+00	9.571437593020395984e-02
6.386858190412889513e+01	6.386793188545616573e+01	4.537039511047113649e+01	6.385706802770145885e+01	6.386808949202067964e+01	1.406707682755614419e+00
