ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
1.912112236022949219e+00	1.738153219223022461e+00	1.950849533081054688e+00	2.874031305313110352e+00	2.678041934967041016e+00	2.901656627655029297e+00
1.879601240158081055e+00	1.912402868270874023e+00	1.982564926147460938e+00	3.015528202056884766e+00	2.813159465789794922e+00	2.943980216979980469e+00
1.933565616607666016e+00	1.754497289657592773e+00	1.979519128799438477e+00	2.985235929489135742e+00	2.728757381439208984e+00	2.893275260925292969e+00
1.873356580734252930e+00	1.733452081680297852e+00	1.945343732833862305e+00	2.921319961547851562e+00	2.743550300598144531e+00	2.886855602264404297e+00
1.883188962936401367e+00	1.782468557357788086e+00	1.985237836837768555e+00	2.950447082519531250e+00	2.772957324981689453e+00	2.840306997299194336e+00
1.838652372360229492e+00	1.695036411285400391e+00	1.893129825592041016e+00	2.853264808654785156e+00	2.589097976684570312e+00	2.801783084869384766e+00
1.842839479446411133e+00	1.730740308761596680e+00	1.968842744827270508e+00	2.960346460342407227e+00	2.674557685852050781e+00	2.939253091812133789e+00
1.927582502365112305e+00	1.741079092025756836e+00	2.038552999496459961e+00	3.152348756790161133e+00	2.684604883193969727e+00	2.797148227691650391e+00
1.870022058486938477e+00	1.735780000686645508e+00	1.928873777389526367e+00	2.911026954650878906e+00	2.697349548339843750e+00	2.924711704254150391e+00
1.885593891143798828e+00	1.742920637130737305e+00	2.067320346832275391e+00	2.918039321899414062e+00	2.734435319900512695e+00	2.979418039321899414e+00
1.943930625915527344e+00	1.799847841262817383e+00	2.000328540802001953e+00	3.016370296478271484e+00	2.728272199630737305e+00	2.954736232757568359e+00
1.875946760177612305e+00	1.756608009338378906e+00	1.985368490219116211e+00	3.047108173370361328e+00	2.830411911010742188e+00	3.020043849945068359e+00
1.944959163665771484e+00	1.786640644073486328e+00	1.949931621551513672e+00	3.015206098556518555e+00	2.699432849884033203e+00	2.917050838470458984e+00
2.023610830307006836e+00	1.752510309219360352e+00	2.017504930496215820e+00	3.137487888336181641e+00	2.759507656097412109e+00	2.914133787155151367e+00
1.943998098373413086e+00	1.788568019866943359e+00	1.924361228942871094e+00	2.824975013732910156e+00	2.641575813293457031e+00	2.934993982315063477e+00
2.018692970275878906e+00	1.767776489257812500e+00	2.014455556869506836e+00	3.018803358078002930e+00	2.851196527481079102e+00	3.080392360687255859e+00
1.901130676269531250e+00	1.790052890777587891e+00	2.036056756973266602e+00	2.956685066223144531e+00	2.790194272994995117e+00	3.094637632369995117e+00
1.952375173568725586e+00	1.813609838485717773e+00	1.997122526168823242e+00	2.901857614517211914e+00	2.697054147720336914e+00	2.966576337814331055e+00
1.910568237304687500e+00	1.722444534301757812e+00	1.984830141067504883e+00	2.915099859237670898e+00	2.728290081024169922e+00	2.984403133392333984e+00
1.906565904617309570e+00	1.758594989776611328e+00	1.970300197601318359e+00	2.886007070541381836e+00	2.674575805664062500e+00	2.831810712814331055e+00
