ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
7.077620520492595801e+01	6.072763276920813524e+01	5.815941177172447851e+01	6.940282523928321723e+01	6.073005067814869307e+01	4.681685588177386848e+01
6.959226693416145793e+01	5.784109884307494553e+01	5.494821490638015149e+01	7.379930801309460264e+01	5.784110391403093132e+01	3.959770796174030494e+01
7.244353969062873944e+01	5.977468303288635809e+01	5.604663672372149108e+01	7.065961060577198793e+01	5.986393043671225200e+01	3.789245808462030851e+01
7.223182600293115740e+01	5.923456991115376269e+01	5.583092908169960111e+01	7.335044227408857864e+01	5.923183441594893850e+01	3.998679850575637573e+01
7.171212696254742980e+01	5.829697725068111680e+01	5.531356012838997316e+01	7.106326267052550349e+01	5.828021625130671168e+01	4.191732588641501422e+01
7.153794658622896918e+01	5.891657136578105280e+01	5.643149776904633796e+01	6.857417947276739767e+01	5.889395433414886583e+01	4.365270419589966622e+01
6.520496404134165402e+01	5.730484647850327207e+01	5.479759007075880106e+01	7.204238965535552097e+01	5.730483684663470711e+01	4.079409379202412822e+01
7.335145822387372050e+01	6.205664964162131980e+01	5.845062509684606056e+01	6.830342100153852414e+01	6.282471581338531763e+01	4.199750949054556060e+01
6.710904782999526219e+01	5.714783959614668873e+01	5.327061578689565380e+01	6.839943043537752487e+01	5.714803220409043405e+01	3.604804681958550105e+01
6.961389198219225705e+01	5.794902314499672968e+01	5.488094491619140314e+01	6.826690841018304923e+01	5.794907702322414877e+01	3.989243620027785653e+01
7.443113688467003897e+01	6.076347850972661746e+01	5.749120203807437690e+01	7.191034351628333354e+01	6.076384769981680023e+01	4.138290327172379079e+01
6.334962979573701602e+01	5.810501621794311689e+01	5.419428266286040952e+01	7.065560021398302126e+01	6.023504415613177798e+01	3.669663269112962212e+01
6.524934894522024820e+01	5.981717650698421096e+01	5.530072650345505991e+01	7.759526064639607057e+01	5.981718463706149436e+01	3.537461232857229021e+01
7.081920695870702787e+01	5.977501285426960465e+01	5.686421162706286481e+01	6.844791228764597690e+01	5.975101599080907988e+01	3.876583218189168178e+01
7.358985719435590056e+01	5.944825871876656720e+01	5.711708289028697294e+01	7.342429460864768487e+01	5.933486904052679023e+01	4.284132278271066241e+01
6.251801209578623997e+01	5.741440105576698016e+01	5.555909717100822576e+01	6.813150711199816101e+01	5.741123745306150283e+01	4.288303778621300921e+01
6.918933720286342748e+01	5.614995739876410141e+01	5.310439520187975404e+01	6.913448827373190397e+01	5.615000042586672890e+01	3.741778768490603113e+01
7.773706912741832298e+01	6.215103344600237989e+01	5.782389436877698330e+01	7.284606454606107206e+01	6.205607033419466489e+01	4.032032225700744732e+01
7.392110709178170680e+01	6.152563641354085888e+01	5.892983043682052369e+01	7.323966518722116348e+01	6.152569771365573814e+01	4.477148465436471270e+01
7.451047137979853119e+01	6.058485485525545755e+01	5.840313434927988823e+01	7.222605263082988358e+01	6.058436953343443321e+01	4.203933249524212101e+01
