ESN	CRJ	LMU	RMM_ESN	RMM_CRJ	RMM_LMU
6.520738601684570312e-01	3.346989154815673828e-01	3.638060092926025391e-01	8.999633550643920898e+00	7.513368129730224609e-01	3.681504487991333008e+00
7.972064018249511719e-01	3.159604072570800781e-01	3.336489200592041016e-01	9.631612300872802734e+00	8.013114929199218750e-01	4.416955947875976562e+00
7.005555629730224609e-01	3.506138324737548828e-01	3.375868797302246094e-01	8.981133222579956055e+00	8.985912799835205078e-01	4.168141841888427734e+00
6.578824520111083984e-01	3.981366157531738281e-01	3.988718986511230469e-01	9.032598733901977539e+00	7.930784225463867188e-01	3.898067951202392578e+00
4.899029731750488281e-01	2.633633613586425781e-01	2.294659614562988281e-01	7.772170305252075195e+00	6.767399311065673828e-01	3.365243911743164062e+00
4.731278419494628906e-01	2.573251724243164062e-01	2.286138534545898438e-01	8.167816877365112305e+00	2.069748401641845703e+00	4.091729879379272461e+00
4.732584953308105469e-01	2.563502788543701172e-01	2.252457141876220703e-01	8.039299726486206055e+00	6.110067367553710938e-01	3.991982936859130859e+00
5.321707725524902344e-01	3.171312808990478516e-01	2.523770332336425781e-01	8.101921558380126953e+00	7.972407341003417969e-01	4.140951633453369141e+00
5.084075927734375000e-01	2.708463668823242188e-01	2.558355331420898438e-01	8.379099845886230469e+00	6.452608108520507812e-01	4.134864091873168945e+00
5.115602016448974609e-01	2.876148223876953125e-01	2.315042018890380859e-01	8.480798244476318359e+00	6.456196308135986328e-01	3.627158403396606445e+00
4.818897247314453125e-01	2.594902515411376953e-01	2.315223217010498047e-01	8.665648937225341797e+00	1.092332108020782471e+02	4.022851467132568359e+00
7.332799434661865234e-01	3.095908164978027344e-01	2.494564056396484375e-01	9.645732164382934570e+00	1.037186248302459717e+02	3.994439125061035156e+00
8.076391220092773438e-01	3.369128704071044922e-01	3.634963035583496094e-01	8.648232221603393555e+00	1.151260576248168945e+02	4.067422628402709961e+00
6.118791103363037109e-01	2.881357669830322266e-01	2.470388412475585938e-01	8.710525035858154297e+00	8.663862395286560059e+01	4.290034532546997070e+00
6.362149715423583984e-01	3.002879619598388672e-01	2.849249839782714844e-01	8.008575439453125000e+00	3.958767890930175781e+00	4.225498199462890625e+00
6.334049701690673828e-01	3.273015022277832031e-01	2.823894023895263672e-01	9.115633010864257812e+00	4.681117630004882812e+01	4.067812442779541016e+00
6.388213634490966797e-01	3.315134048461914062e-01	2.995622158050537109e-01	9.174931049346923828e+00	1.807028770446777344e+00	4.013267040252685547e+00
5.689196586608886719e-01	2.840244770050048828e-01	2.525136470794677734e-01	9.228624582290649414e+00	6.508922576904296875e-01	3.999413251876831055e+00
8.117218017578125000e-01	3.756010532379150391e-01	3.147885799407958984e-01	8.968420743942260742e+00	1.143407571315765381e+02	4.342777252197265625e+00
7.147197723388671875e-01	3.485457897186279297e-01	2.884407043457031250e-01	8.389548540115356445e+00	7.222640514373779297e-01	4.017941951751708984e+00
